Group,idba_tran_BLAST_nt_BOWTIE2,idba_tran_BLAST_nt_BWA,idba_tran_BLAST_SILVA_BOWTIE2,idba_tran_BLAST_SILVA_BWA,idba_tran_CREST_BOWTIE2,idba_tran_CREST_BWA,rnaSPAdes_BLAST_nt_BOWTIE2,rnaSPAdes_BLAST_nt_BWA,rnaSPAdes_BLAST_SILVA_BOWTIE2,rnaSPAdes_BLAST_SILVA_BWA,rnaSPAdes_CREST_BOWTIE2,rnaSPAdes_CREST_BWA,trinity_BLAST_nt_BOWTIE2,trinity_BLAST_nt_BWA,trinity_BLAST_SILVA_BOWTIE2,trinity_BLAST_SILVA_BWA,trinity_CREST_BOWTIE2,trinity_CREST_BWA
Eukaryota:_Foraminifera,0.001604441,0.00320675,0.00314456,0.001500142,0.001136095,0.000540332,0.00067932,0.00093379,0.002823033,0.003210293,0.000725088,0.000774803,0.001454635,0.001449306,0.001484539,0.00146931,0.000764849,0.000769172
Eukaryota:_Gastrotricha,0.00018544,0.000118091,0.000200242,0.000134387,0.000205604,0.000137142,2.61E-06,2.72E-06,4.28E-05,5.17E-05,4.64E-05,5.60E-05,6.40E-06,3.80E-05,1.78E-05,5.35E-05,2.06E-05,5.74E-05
Eukaryota:_Gnathostomulida,0,0,0,0,0,0,9.48E-07,9.59E-07,9.98E-07,1.01E-06,0,0,1.28E-06,2.20E-06,1.31E-06,2.26E-06,0,0
Eukaryota:_Haptista,0.001503465,0.002778059,0.00471982,0.004420086,0.004360484,0.003592376,0.002447434,0.002365206,0.012004448,0.011540876,0.003148214,0.003057351,0.002814803,0.002588206,0.00562859,0.004998922,0.003369217,0.003081299
Eukaryota:_Hemimastigophora,0,0,0,0,0,0,5.86E-06,1.02E-05,0,0,0,0,0,0,0,0,0,0
Eukaryota:_Heterolobosea,0.004595807,0.005804629,0.006589893,0.009452474,0.012675592,0.012816667,0.008951827,0.008815562,0.021188571,0.020113469,0.009730275,0.009668571,0.00606518,0.005654681,0.017013635,0.015813446,0.011786759,0.011509049
Eukaryota:_Imbricatea,0.008005692,0.006317022,0.008005451,0.007365683,0.016838535,0.01177023,0.006605086,0.006551358,0.011333432,0.011487541,0.013984021,0.01420592,0.005820537,0.005556924,0.010838976,0.01061313,0.012420154,0.01277126
Eukaryota:_Loricifera,0,0,0,0,0,0,5.08E-06,5.31E-06,5.35E-06,5.59E-06,5.79E-06,6.05E-06,0,0,0,0,0,0
Eukaryota:_Microsporidia,0.000740005,0.000701709,1.01E-05,5.81E-06,1.01E-06,5.27E-07,1.22E-05,2.14E-05,4.56E-06,5.05E-06,0,0,8.46E-05,9.04E-05,4.73E-06,5.62E-06,4.00E-07,3.96E-07
Eukaryota:_Mollusca,0,0,0.002977778,0.003111762,0.001956186,0.002317216,0,0,0.001120212,0.001085173,7.42E-05,8.49E-05,6.03E-07,9.13E-07,0.000820758,0.000735644,2.03E-05,0.000113731
Eukaryota:_Mucoromycota,0.001935938,0.001643271,0.007093294,0.0049703,0.003586134,0.00325069,0.001363075,0.001428188,0.008177047,0.008146418,0.004110891,0.004119337,0.001582814,0.002190489,0.004489151,0.004575589,0.002604887,0.002987382
Eukaryota:_Nematoda,0.002947966,0.001670466,0.006640568,0.006659195,0.006498395,0.005298695,0.00166407,0.001755262,0.002190217,0.002311069,0.002472057,0.002700998,0.001969948,0.002073533,0.00364682,0.003645805,0.003623167,0.003645705
Eukaryota:_Nemertea,0,0,2.83E-06,2.11E-06,0,0,0,0,0,0,0,0,8.66E-07,8.11E-07,8.84E-07,8.33E-07,4.20E-06,4.43E-06
Eukaryota:_Olpidiomycota,0,0,0,0,0,0,9.48E-07,1.21E-06,0.000120085,0.000223435,0,0,0,0,4.41E-05,1.02E-05,0,0
Eukaryota:_Onychophora,0,0,0,0,0,0,0,0,0,0,0,0,1.88E-07,5.41E-07,1.92E-07,5.55E-07,0,0
Eukaryota:_Parabasalia,0,0,0,0,0,0,0,0,1.43E-07,1.68E-07,0,0,0,0,0,0,0,0
Eukaryota:_Perkinsozoa,0.000645824,0.000748754,0.001580179,0.001584117,0.000683642,0.000794159,2.61E-05,2.00E-05,5.10E-05,9.61E-05,3.21E-05,3.37E-05,8.66E-06,2.57E-05,4.05E-05,6.73E-05,1.22E-05,3.14E-05
Eukaryota:_Picozoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69E-06,4.37E-06,1.76E-05,1.51E-05
Eukaryota:_Platyhelminthes,3.59E-05,0.00073365,0.000923634,0.000492496,4.19E-06,1.12E-06,8.61E-05,9.38E-05,8.38E-05,8.97E-05,9.38E-05,0.000102133,2.13E-05,2.72E-05,0.000258191,0.000288851,1.05E-05,1.49E-05
Eukaryota:_Porifera,2.70E-05,6.54E-05,0.00040913,0.000238686,2.27E-05,7.11E-05,1.26E-05,1.46E-05,0.000241382,0.000370787,0.000151815,0.000242151,0.000218954,0.000254261,0.000272189,0.000318593,0.000416358,0.00043893
Eukaryota:_Preaxostyla,1.58E-05,2.20E-05,1.61E-05,2.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.40E-06,1.15E-06
Eukaryota:_Rhodophyta,0.000595409,0.000847173,2.49E-05,1.36E-05,0.000761867,0.000428688,1.50E-05,1.73E-05,1.35E-06,3.97E-06,2.70E-07,1.97E-06,2.12E-05,2.31E-05,3.58E-06,3.44E-06,1.04E-05,9.51E-06
Eukaryota:_Rotifera,0.001424627,0.001650406,0.001870073,0.002027319,0.001911375,0.002046951,0.000589394,0.000638039,0.000581682,0.000617306,0.000630431,0.000668914,0.000953221,0.001040975,0.001356675,0.001616077,0.001593966,0.001759214
Eukaryota:_Streptophyta,0.00544848,0.002937225,0.003871081,0.009985714,0.002055809,0.007094719,0.000580997,0.002131655,0.001077987,0.001266175,0.002686977,0.002645903,0.001912733,0.003360689,0.00382037,0.004214031,0.00238509,0.002448122
Eukaryota:_Tardigrada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22E-05,2.08E-05
Eukaryota:_Tubulinea,0.013302342,0.011356598,0.045226929,0.037606403,0.026929111,0.020921288,0.029187563,0.028382793,0.048271824,0.047598601,0.029064653,0.028741064,0.028721954,0.026453117,0.051420847,0.048725468,0.029650041,0.027847299
Eukaryota:_Unknown,0.192818455,0.166514128,0.042278961,0.04291535,0.056038619,0.053334437,0.129806847,0.132496962,0.060715634,0.061871808,0.074504591,0.075375297,0.135939402,0.134188797,0.056370812,0.055084274,0.070962746,0.070943702
Eukaryota:_Xenacoelomorpha,7.60E-06,7.97E-06,9.09E-06,8.84E-06,0,0,1.29E-06,2.01E-06,2.49E-07,3.36E-07,0,0,5.65E-07,1.35E-06,2.69E-07,3.12E-07,0,0
Eukaryota:_Zoopagomycota,0.00077778,0.00256155,0.000603187,0.000931104,0.000851955,0.000963947,0.000733391,0.000826811,0.001102289,0.001145843,0.001019796,0.001093453,0.000790051,0.000674152,0.000822257,0.000796621,0.001245555,0.001123875
NA,0.023547632,0.023013528,0.004981022,0.011435636,0,0,0.004222049,0.004856473,0.001264493,0.001791752,0,0,0.01401439,0.01442255,0.000975387,0.001388933,0,0
Unknown,1.40E-05,3.03E-05,2.69E-05,8.64E-05,0.033851042,0.121595379,0.000623489,0.000734023,0,0,0.006862866,0.010871559,0.00202818,0.00174511,0,0,0.008971393,0.014717589
Viruses:_Unknown,0,0,0,0,0,0,4.06E-07,5.82E-06,0,0,0,0,0,0,0,0,0,0
